N-GW-017-585;3-17-CN00098-2
N-GW-036-585;3-4-CN00087-2
N-GW-008-585;3-4-CN00117-2
B-GW-003-585;2-17-B00369-2
N-GW-064-585;3-4-CN00152-2
N-GW-041-585;3-4-CN00162-2
K-GW-012-585;7-18-K00159-2
K-GW-040-585;7-4-K00342-2
N-GW-026-585;3-4-CN00131-2
K-GW-027-585;7-7-K00051-2
N-GW-028-585;11-16-N00138-2
K-GW-050-585;7-4-K00412-2
N-GW-042-585;3-4-CN00029-2
B-GW-007-585;2-17-B00357-2
N-GW-051-585;3-4-CN00028-2
B-GW-002-585;2-17-B00364-2
N-GW-043-585;3-4-CN00158-2
B-GW-027-585;2-17-B00353-2
B-GW-033-585;2-17-B00352-2
B-GW-043-585;2-17-B00366-2
K-GW-053-585;7-4-K00338-2
K-GW-067-585;7-13-K00297-2
K-GW-075-585;7-4-K00408-2
K-GW-077-585;7-21-K00293-2
K-GW-083-585;7-13-K00298-2
K-GW-089-585;7-4-K00328-2
K-GW-110-585;7-4-K00010-2
N-GW-076-585;3-4-CN00200-2
N-GW-079-585;3-4-CN00122-2
N-GW-087-585;3-4-CN00165-2
N-GW-088-585;3-4-CN00170-2
N-GW-090-585;3-4-CN00030-2
N-GW-092-585;3-4-CN00247-2
N-GW-093-585;11-16-N00016-2
N-GW-095-585;11-4-N00136-2
N-GW-097-585;3-16-CN00174-2
N-GW-098-585;11-21-N00186-2
N-GW-113-585;3-17-CN00069-2
N-GW-117-585;3-4-CN00171-2
N-GW-127-585;3-4-CN00153-2
N-GW-132-585;3-4-CN00159-2
N-GW-136-585;11-4-N00015-2
N-GW-139-585;3-4-CN00035-2
N-GW-143-585;3-16-CN00066-2
N-GW-144-585;11-4-N00012-2
N-GW-151-585;3-16-CN00057-2
N-GW-156-585;11-16-N00036-2
N-GW-165-585;11-4-N00030-2
N-GW-167-585;11-16-N00139-2
N-GW-171-585;3-4-CN00026-2
N-GW-172-585;3-4-CN00064-2
N-GW-185-585;3-4-CN00072-2
N-GW-188-585;3-4-CN00120-2
N-GW-190-585;11-21-N00041-2
KR-GW-001-585;4-9-K00013-2
MD-GW-014-585;5-15-M00015-2
N-GW-169-585;3-16-CN00056-2
K-GW-065-585;7-17-K00449-2
N-GW-020-585;11-16-N00035-2
N-GW-035-585;11-16-N00132-2
N-GW-007-585;11-17-N00005-2
N-GW-003-585;11-17-N00006-2
N-GW-063-585;11-17-N00010-2
N-GW-027-585;11-21-N00039-2
N-GW-029-585;11-4-N00026-2
N-GW-053-585;11-4-N00044-2
K-GW-010-585;7-17-K00182-2
K-GW-045-585;7-17-K00459-2
K-GW-017-585;7-17-K00460-2
K-GW-011-585;7-4-K00323-2
B-GW-016-585;B2-4-B00374-2
N-GW-014-585;3-17-CN00103-2
N-GW-009-585;3-17-CN00105-2
